num_turno;tipo_dia;apertura_lugar;apertura_hora;presentacion_lugar;presentacion_hora;servicios;cierre_lugar;cierre_hora
1;LV;EZ;3:25;HQ;4:55;20202-20301-304-309-20220;EZ;10:55
2;LV;EZ;3:40;CW;5:10;20000-001-022-022-036;EZ;11:00
3;LV;EZ;3:25;HQ;4:55;20220-20397-REC;EZ;10:55
4;LV;EZ;3:55;CW;5:25;20002-003-024-025-20280;EZ;11:25
5;LV;EZ;16:30;EZ;16:30;20322-327-20261-20855;LJ;23:45
6;LV;EZ;5:50;LJ;5:50;20842-310-313-20228;EZ;13:20
7;LV;EZ;4:00;CC;4:45;20281-20004-005-026-027-040;EZ;11:25
8;LV;EZ;4:00;CC;4:45;20281-20008-009-028-029-042;EZ;11:00
9;LV;EZ;3:30;EZ;3:30;REC;EZ;11:00
10;LV;EZ;4:15;LM;5:45;20196-351-390-311-20222;EZ;11:45
11;LV;EZ;4:30;LM;6:00;20283-20010-011-038-031-044;EZ;11:45
12;LV;EZ;4:40;GU;6:10;20198-362-371-mn;EZ;12:00
13;LV;EZ;4:45;CW;6:15;20014-015-032-033;EZ;11:30
14;LV;EZ;4:50;GU;6:20;20285-20018-364-373;EZ;12:15
15;LV;EZ;4:50;GU;6:20;20285 -20020-353-374-377;EZ;12:00
16;LV;EZ;5:00;EZ;5:00;REC;EZ;12:30
17;LV;EZ;4:55;CW;6:25;20016-017-034-035-048;EZ;12:25
18;LV;EZ;5:30;EZ;5:30;20205-20300-305-308-20231;OH;13:30
19;LV;EZ;5:30;EZ;5:30;20207-20841-844-20234;EZ;13:30
20;LV;EZ;7:30;EZ;7:30;20845-20856;EZ;16:55
21;LV;EZ;8:30;CW;10:50;20037-050-051-058;EZ;16:30
22;LV;EZ;8:30;EZ;8:30;REC;EZ;12:30
23;LV;EZ;9:05;EZ;9:50;20054-055-066;EZ;14:15
24;LV;-;-;-;-;DESCANSO;-;-
25;LV;EZ;10:55;EZ;13:00;20241-20318-323-326-331;EZ;20:15
26;LV;EZ;11:00;EZ;13:00;20229-20843-20862-20272;EZ;23:15
27;LV;EZ;12:15;EZ;13:00;20059-064-065-072-073-090;EZ;19:35
28;LV;EZ;10:30;CC;11:15;20049-056-057-062-063-068;EZ;17:20
29;LV;EZ;9:45;HQ;11:15;20219-20312-315-20232-20239-20316-321;EZ;17:15
30;LV;EZ;14:45;GU;16:15;20291-20082-20083-100-101-20288;EZ;22:25
31;LV;EZ;14:30;EZ;14:30;REC;EZ;22:00
32;LV;EZ;14:30;CC;15:15;20067-078-079-098-099-114;EZ;22:00
33;LV;EZ;15:45;EZ;15:45;20376-379-328-333-20264-20270;EZ;23:10
34;LV;EZ;16:45;CC;17:30;20107-120-121;CW;22:45
35;LV;EZ;17:35;CC;18:20;20091-108-109-122-123;EZ;23:45
36;LV;EZ;18:05;CC;18:05;20256-20097-112-113-126-127;EZ;1:35
37;LV;EZ;18:05;CC;18:05;20115-128-129;EZ;1:35
38;LV;EZ;16:00;EZ;16:00;20250-20075-092-093-110-111-20292;EZ;22:55
39;LV;EZ;16:00;EZ;16:00;20250-20077-094-095-20286;EZ;21:25
40;LV;EZ;15:30;EZ;15:30;REC;EZ;23:00
41;LV;EZ;16:30;CC;17:15; 20105-116-117-20294;LM;23:00
42;LV;EZ;17:00;EZ;17:00;20324-329-330-20269-;EZ;22:25
43;LV;EZ;15:10;CC;16:55;20071-088-089;EZ;20:15
44;LV;EZ;15:15;EZ;15:15;20243-20320-325-332-335;EZ;20:15
45;LV;EZ;15:20;CW;16:05;20069-084-085-104;EZ;20:40
46;LV;EZ;14:50;GU;16:20;20293-20086-20087-20284;EZ;21:10
47;LV;EZ;9:30;CC;13:30;20041-052-053-20282;EZ;22:20
48;LV;-;-;-;-;DESCANSO;-;-
51;SAB;EZ;4:15;CW;5:45;20142-143-150-151-040;EZ;14:30
52;SAB;EZ;4:55;CC;6:25;20144-145-152-153-044;EZ;12:25
53;SAB;EZ;5:15;CC;6:00;20141-146-147-154-035-048;EZ;14:30
54;SAB;EZ;6:45;HQ;8:15;20241-312;EZ;14:30
55;SAB;EZ;7:00;EZ;7:00;REC EZ;EZ;14:30
56;SAB;EZ;6:45;EZ;7:30;REC CC;EZ;14:15
57;SAB;EZ;8:00;EZ;10:20;REC;EZ;15:30
58;SAB;LJ;7:20;LJ;7:20;20859-20224;EZ;12:30
59;SAB;EZ;7:25;EZ;7:45;20213-20857-20844-20234;EZ;14:15
